epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,10147.2,1.19886,0.6854,1.13403,0.91712,0.88788,0.93783,0.59728,1.26041,0.56251,1.15694,0.0002674,0.0002674,0.0002674
76,10280.2,1.19319,0.67139,1.12575,0.92009,0.88872,0.93999,0.59872,1.26862,0.56053,1.15975,0.0002575,0.0002575,0.0002575
77,10410.6,1.19979,0.68096,1.13392,0.91822,0.88766,0.9401,0.60245,1.25511,0.55986,1.15464,0.0002476,0.0002476,0.0002476
78,10555.6,1.19594,0.6706,1.12659,0.91505,0.89094,0.94076,0.60121,1.25218,0.5544,1.15302,0.0002377,0.0002377,0.0002377
79,10697.3,1.20536,0.67914,1.13273,0.91301,0.89056,0.94016,0.60161,1.24969,0.55433,1.15268,0.0002278,0.0002278,0.0002278
80,10823,1.19006,0.67153,1.12975,0.91342,0.89241,0.93983,0.59829,1.25761,0.55543,1.15568,0.0002179,0.0002179,0.0002179
81,10923.9,1.18734,0.66501,1.12523,0.92017,0.88526,0.93896,0.60341,1.24368,0.55335,1.14925,0.000208,0.000208,0.000208
82,11023.9,1.18848,0.65851,1.12806,0.91652,0.89246,0.93919,0.60212,1.25412,0.55427,1.15117,0.0001981,0.0001981,0.0001981
83,11124.5,1.18773,0.6569,1.12518,0.92613,0.88695,0.94116,0.6016,1.25348,0.55135,1.15086,0.0001882,0.0001882,0.0001882
84,11230,1.19318,0.66075,1.12445,0.92584,0.8873,0.93952,0.60324,1.25036,0.54886,1.14968,0.0001783,0.0001783,0.0001783
85,11331.7,1.1914,0.6602,1.1224,0.92181,0.88894,0.94057,0.60283,1.25087,0.54958,1.15157,0.0001684,0.0001684,0.0001684
86,11431.9,1.1799,0.65884,1.12045,0.9243,0.89303,0.94147,0.60019,1.25522,0.54937,1.15418,0.0001585,0.0001585,0.0001585
87,11532.4,1.17899,0.66029,1.12169,0.92531,0.89064,0.9405,0.60406,1.24515,0.54915,1.14967,0.0001486,0.0001486,0.0001486
88,11634.7,1.17534,0.64676,1.12104,0.92197,0.89212,0.9397,0.60204,1.24686,0.55057,1.149,0.0001387,0.0001387,0.0001387
89,11735,1.18257,0.65152,1.11551,0.91686,0.89632,0.94106,0.60271,1.24836,0.54967,1.15091,0.0001288,0.0001288,0.0001288
90,11834.7,1.1769,0.64901,1.12413,0.91691,0.89362,0.93919,0.60444,1.23702,0.54573,1.14543,0.0001189,0.0001189,0.0001189
91,11942.9,1.13308,0.53297,1.11641,0.92198,0.88656,0.93804,0.602,1.24022,0.54716,1.14631,0.000109,0.000109,0.000109
92,12040.5,1.122,0.52253,1.11399,0.92094,0.88876,0.93834,0.60395,1.2391,0.54602,1.14595,9.91e-05,9.91e-05,9.91e-05
93,12140.8,1.11516,0.51698,1.10976,0.92043,0.89266,0.93936,0.60216,1.24443,0.54643,1.14843,8.92e-05,8.92e-05,8.92e-05
94,12269.2,1.11809,0.51407,1.10747,0.91926,0.89379,0.93952,0.6025,1.24223,0.54648,1.14734,7.93e-05,7.93e-05,7.93e-05
95,12401.7,1.11861,0.51179,1.10792,0.9211,0.89268,0.94011,0.60158,1.24086,0.54396,1.14565,6.94e-05,6.94e-05,6.94e-05
96,12533.8,1.11394,0.51132,1.10288,0.91832,0.89749,0.94205,0.60428,1.23717,0.54094,1.14403,5.95e-05,5.95e-05,5.95e-05
97,12665.9,1.10936,0.50855,1.1004,0.92114,0.89312,0.94349,0.60248,1.24097,0.54161,1.14579,4.96e-05,4.96e-05,4.96e-05
98,12797,1.1069,0.50606,1.10377,0.91684,0.89545,0.94173,0.59999,1.24559,0.54115,1.14695,3.97e-05,3.97e-05,3.97e-05
99,12931,1.10724,0.50353,1.10272,0.92454,0.8907,0.94109,0.6011,1.24463,0.54036,1.14569,2.98e-05,2.98e-05,2.98e-05
100,13067.7,1.10801,0.50547,1.10553,0.92335,0.89023,0.94206,0.60157,1.24234,0.54,1.14466,1.99e-05,1.99e-05,1.99e-05
